RootCause_ID,Symptom_ID,Symptom,Root_Cause,Typical_Cause_Effect_Chain,Notes
RC-043,SYM-09,High Suction Pressure,Upstream process upset / higher upstream pressure,,Multiple possible causes; validate with OEM/site data.
RC-044,SYM-09,High Suction Pressure,Suction valve/IGV control issue,,Multiple possible causes; validate with OEM/site data.
RC-045,SYM-09,High Suction Pressure,Recycle backflow raising suction pressure,,Multiple possible causes; validate with OEM/site data.
RC-046,SYM-09,High Suction Pressure,Suction drum control issue,,Multiple possible causes; validate with OEM/site data.
RC-047,SYM-10,Low Discharge Pressure,Recycle valve open (near surge),,Multiple possible causes; validate with OEM/site data.
RC-048,SYM-10,Low Discharge Pressure,Low speed,,Multiple possible causes; validate with OEM/site data.
RC-049,SYM-10,Low Discharge Pressure,Internal damage/fouling reducing head,,Multiple possible causes; validate with OEM/site data.
RC-050,SYM-10,Low Discharge Pressure,High suction temperature / low density,,Multiple possible causes; validate with OEM/site data.
RC-051,SYM-10,Low Discharge Pressure,Leakage (seal/clearance),,Multiple possible causes; validate with OEM/site data.
RC-052,SYM-11,High Lube Oil Supply Temperature,Cooling water inlet temperature high,,Multiple possible causes; validate with OEM/site data.
RC-053,SYM-11,High Lube Oil Supply Temperature,LO cooler fouling / low CW flow,,Multiple possible causes; validate with OEM/site data.
RC-054,SYM-11,High Lube Oil Supply Temperature,Bypass valve stuck open,,Multiple possible causes; validate with OEM/site data.
RC-055,SYM-11,High Lube Oil Supply Temperature,Fan/pump failure,,Multiple possible causes; validate with OEM/site data.
RC-056,SYM-11,High Lube Oil Supply Temperature,High ambient / utility limitations,,Multiple possible causes; validate with OEM/site data.
RC-057,SYM-12,"High Seal leak off pressure 
(Applicable for Dry Gas Seal)",Vent restriction / high backpressure,,Multiple possible causes; validate with OEM/site data.
RC-058,SYM-12,"High Seal leak off pressure 
(Applicable for Dry Gas Seal)",Seal face wear / damage,,Multiple possible causes; validate with OEM/site data.
RC-059,SYM-12,"High Seal leak off pressure 
(Applicable for Dry Gas Seal)",High seal gas supply pressure / wrong setpoint,,Multiple possible causes; validate with OEM/site data.
RC-060,SYM-12,"High Seal leak off pressure 
(Applicable for Dry Gas Seal)",Contamination / liquid carryover in seal gas,,Multiple possible causes; validate with OEM/site data.
RC-061,SYM-12,"High Seal leak off pressure 
(Applicable for Dry Gas Seal)",Reference/barrier/buffer gas control malfunction,,Multiple possible causes; validate with OEM/site data.
RC-062,SYM-13,"High Seal leak off flow
(Applicable for Dry Gas Seal)",Seal face wear / increased leakage,Seal DP unstable/contamination → seal face damage → vent flow ↑ → leak-off pressure/flow ↑,Multiple possible causes; validate with OEM/site data.
RC-063,SYM-13,"High Seal leak off flow
(Applicable for Dry Gas Seal)",Liquid carryover damaging DGS,,Multiple possible causes; validate with OEM/site data.
RC-064,SYM-13,"High Seal leak off flow
(Applicable for Dry Gas Seal)",Seal gas DP/supply instability,,Multiple possible causes; validate with OEM/site data.
RC-065,SYM-13,"High Seal leak off flow
(Applicable for Dry Gas Seal)",Vent restriction or flare header swings,,Multiple possible causes; validate with OEM/site data.
RC-066,SYM-13,"High Seal leak off flow
(Applicable for Dry Gas Seal)",Coalescer saturation/plugging,,Multiple possible causes; validate with OEM/site data.
RC-067,SYM-14,"High Seal Oil loss
(Applicable for Wet Seal)",Seal ring wear / increased leakage,,Multiple possible causes; validate with OEM/site data.
RC-068,SYM-14,"High Seal Oil loss
(Applicable for Wet Seal)",High seal oil DP or high temperature (low viscosity),,Multiple possible causes; validate with OEM/site data.
RC-069,SYM-14,"High Seal Oil loss
(Applicable for Wet Seal)",Seal oil system control malfunction,,Multiple possible causes; validate with OEM/site data.
RC-070,SYM-14,"High Seal Oil loss
(Applicable for Wet Seal)",Drain/degassing issues causing carryover,,Multiple possible causes; validate with OEM/site data.
RC-071,SYM-14,"High Seal Oil loss
(Applicable for Wet Seal)",Incorrect oil level or wrong oil grade,,Multiple possible causes; validate with OEM/site data.
